IoUs for image 84: {1: 0.0, 2: 0.758889653590273, 3: 0.0}
IoUs for image 85: {1: 0.0, 2: 0.0, 3: 0.5759209344115005}
IoUs for image 86: {1: 0.010145846544071021, 2: 0.0, 3: nan}
IoUs for image 87: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 88: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 89: {1: 0.0, 2: 0.0, 3: 0.04414893617021277}
IoUs for image 90: {1: 0.0, 2: 0.0, 3: 0.562843295638126}
IoUs for image 91: {1: 0.0, 2: 0.9269029399919452, 3: 0.5420766881574482}
IoUs for image 92: {1: 0.0, 2: 0.24770152684288294, 3: 0.0}
IoUs for image 93: {1: 0.07257694074414332, 2: 0.0, 3: 0.0}
IoUs for image 94: {1: 0.0, 2: 0.8367381681988424, 3: 0.8526376146788991}
IoUs for image 95: {1: 0.33454545454545453, 2: 0.8803301237964236, 3: 0.8733736485248305}
IoUs for image 96: {1: 0.10271460014673514, 2: 0.0, 3: 0.0}
IoUs for image 97: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 98: {1: 0.0, 2: 0.6553796183516037, 3: 0.0}
IoUs for image 99: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 100: {1: 0.0, 2: 0.0, 3: 0.2968669748330765}
IoUs for image 101: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 102: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 103: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 104: {1: 0.0, 2: 0.004525526799604016, 3: 0.0}
IoUs for image 105: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 106: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 107: {1: 0.0, 2: 0.7632428940568475, 3: 0.8126430205949656}
IoUs for image 108: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 109: {1: 0.0, 2: 0.6419793437050595, 3: 0.0}
IoUs for image 110: {1: 0.09140108238123873, 2: 0.0, 3: 0.0}
IoUs for image 111: {1: 0.0, 2: 0.7121873759428344, 3: 0.0}
IoUs for image 112: {1: 0.0, 2: 0.06895210939018859, 3: 0.0}
IoUs for image 113: {1: 0.0, 2: 0.897202204323866, 3: nan}
IoUs for image 114: {1: 0.0, 2: 0.0, 3: 0.7049617641828205}
IoUs for image 115: {1: 0.0, 2: 0.09456669520116824, 3: 0.0}
IoUs for image 116: {1: 0.0, 2: 0.8149749658625398, 3: 0.9098238913643115}
IoUs for image 117: {1: 0.24830426356589147, 2: 0.0, 3: 0.0}
IoUs for image 118: {1: 0.0, 2: 0.03596784996651038, 3: 0.0}
IoUs for image 119: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 120: {1: 0.0, 2: 0.3349778749809267, 3: 0.0}
IoUs for image 121: {1: 0.0, 2: 0.0, 3: 0.4276940256839754}
IoUs for image 122: {1: 0.025256222547584188, 2: 0.0, 3: 0.0}
IoUs for image 123: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 124: {1: 0.18446001648804616, 2: 0.0, 3: 0.0}
IoUs for image 125: {1: 0.0, 2: 0.060846030473135526, 3: 0.0}
IoUs for image 126: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 127: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 128: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 129: {1: 0.0, 2: 0.16486053222186597, 3: 0.0}
IoUs for image 130: {1: 0.0, 2: 0.0360372704850644, 3: 0.0}
IoUs for image 131: {1: 0.0, 2: 0.7270503831729985, 3: 0.544579533941236}
IoUs for image 132: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 133: {1: 0.0, 2: 0.8990287333063537, 3: 0.0}
IoUs for image 134: {1: 0.07299642674834099, 2: 0.0, 3: 0.0}
IoUs for image 135: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 136: {1: 0.34189153785695575, 2: 0.0, 3: 0.3841544607190413}
IoUs for image 137: {1: 0.03123008285532186, 2: 0.0, 3: 0.0}
IoUs for image 138: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 139: {1: 0.0, 2: 0.16861421275859084, 3: 0.0}
IoUs for image 140: {1: 0.07549728752260398, 2: 0.0, 3: 0.0}
IoUs for image 141: {1: 0.0, 2: 0.8722943722943723, 3: 0.0}
IoUs for image 142: {1: 0.0, 2: 0.716556929500562, 3: 0.0}
